epoch6g step in cur epoch 12losstf.Tensor(0.48711956, shape=(), dtype=float32)
epoch6g step in cur epoch 13losstf.Tensor(0.46490628, shape=(), dtype=float32)
epoch6g step in cur epoch 14losstf.Tensor(0.5889817, shape=(), dtype=float32)
epoch6g step in cur epoch 15losstf.Tensor(0.42770192, shape=(), dtype=float32)
epoch6g step in cur epoch 16losstf.Tensor(0.5202306, shape=(), dtype=float32)
epoch6g step in cur epoch 17losstf.Tensor(0.5285796, shape=(), dtype=float32)
epoch6g step in cur epoch 18losstf.Tensor(0.6789516, shape=(), dtype=float32)
epoch6g step in cur epoch 19losstf.Tensor(0.34431213, shape=(), dtype=float32)
epoch6g step in cur epoch 20losstf.Tensor(0.5323746, shape=(), dtype=float32)
epoch6g step in cur epoch 21losstf.Tensor(0.32460266, shape=(), dtype=float32)
epoch6g step in cur epoch 22losstf.Tensor(0.62344563, shape=(), dtype=float32)
epoch6g step in cur epoch 23losstf.Tensor(0.5666337, shape=(), dtype=float32)
epoch6g step in cur epoch 24losstf.Tensor(0.5150929, shape=(), dtype=float32)
avg loss=tf.Tensor(0.4871428, shape=(), dtype=float32)
epoch7g step in cur epoch 0losstf.Tensor(0.34129834, shape=(), dtype=float32)
epoch7g step in cur epoch 1losstf.Tensor(0.5087835, shape=(), dtype=float32)
epoch7g step in cur epoch 2losstf.Tensor(0.8652265, shape=(), dtype=float32)
epoch7g step in cur epoch 3losstf.Tensor(1.0745015, shape=(), dtype=float32)
epoch7g step in cur epoch 4losstf.Tensor(0.96077085, shape=(), dtype=float32)
epoch7g step in cur epoch 5losstf.Tensor(0.9239458, shape=(), dtype=float32)
epoch7g step in cur epoch 6losstf.Tensor(0.9680327, shape=(), dtype=float32)
epoch7g step in cur epoch 7losstf.Tensor(1.0212414, shape=(), dtype=float32)
epoch7g step in cur epoch 8losstf.Tensor(1.0433881, shape=(), dtype=float32)
epoch7g step in cur epoch 9losstf.Tensor(1.5175488, shape=(), dtype=float32)
epoch7g step in cur epoch 10losstf.Tensor(1.4469628, shape=(), dtype=float32)
epoch7g step in cur epoch 11losstf.Tensor(1.6616099, shape=(), dtype=float32)
epoch7g step in cur epoch 12losstf.Tensor(1.6597675, shape=(), dtype=float32)
epoch7g step in cur epoch 13losstf.Tensor(1.528075, shape=(), dtype=float32)
epoch7g step in cur epoch 14losstf.Tensor(1.5413531, shape=(), dtype=float32)
epoch7g step in cur epoch 15losstf.Tensor(1.5761645, shape=(), dtype=float32)
epoch7g step in cur epoch 16losstf.Tensor(1.5769608, shape=(), dtype=float32)
epoch7g step in cur epoch 17losstf.Tensor(1.8027601, shape=(), dtype=float32)
epoch7g step in cur epoch 18losstf.Tensor(1.4994496, shape=(), dtype=float32)
epoch7g step in cur epoch 19losstf.Tensor(1.493745, shape=(), dtype=float32)
epoch7g step in cur epoch 20losstf.Tensor(1.7165704, shape=(), dtype=float32)
epoch7g step in cur epoch 21losstf.Tensor(1.5981376, shape=(), dtype=float32)
epoch7g step in cur epoch 22losstf.Tensor(1.4905747, shape=(), dtype=float32)
epoch7g step in cur epoch 23losstf.Tensor(1.5362387, shape=(), dtype=float32)
epoch7g step in cur epoch 24losstf.Tensor(1.5133091, shape=(), dtype=float32)
avg loss=tf.Tensor(1.3146565, shape=(), dtype=float32)
epoch8g step in cur epoch 0losstf.Tensor(0.5516192, shape=(), dtype=float32)
epoch8g step in cur epoch 1losstf.Tensor(0.54715776, shape=(), dtype=float32)
epoch8g step in cur epoch 2losstf.Tensor(0.42907357, shape=(), dtype=float32)
epoch8g step in cur epoch 3losstf.Tensor(0.61146945, shape=(), dtype=float32)
epoch8g step in cur epoch 4losstf.Tensor(0.40623873, shape=(), dtype=float32)
epoch8g step in cur epoch 5losstf.Tensor(0.3353666, shape=(), dtype=float32)
epoch8g step in cur epoch 6losstf.Tensor(0.3609892, shape=(), dtype=float32)
epoch8g step in cur epoch 7losstf.Tensor(0.53451705, shape=(), dtype=float32)
epoch8g step in cur epoch 8losstf.Tensor(0.42387772, shape=(), dtype=float32)
epoch8g step in cur epoch 9losstf.Tensor(0.57742995, shape=(), dtype=float32)
epoch8g step in cur epoch 10losstf.Tensor(0.4855957, shape=(), dtype=float32)
epoch8g step in cur epoch 11losstf.Tensor(0.4893937, shape=(), dtype=float32)
epoch8g step in cur epoch 12losstf.Tensor(0.49478668, shape=(), dtype=float32)
epoch8g step in cur epoch 13losstf.Tensor(0.4894945, shape=(), dtype=float32)
epoch8g step in cur epoch 14losstf.Tensor(0.49570897, shape=(), dtype=float32)
epoch8g step in cur epoch 15losstf.Tensor(0.48408544, shape=(), dtype=float32)
epoch8g step in cur epoch 16losstf.Tensor(0.48562312, shape=(), dtype=float32)
epoch8g step in cur epoch 17losstf.Tensor(0.40273556, shape=(), dtype=float32)
epoch8g step in cur epoch 18losstf.Tensor(0.9710945, shape=(), dtype=float32)
epoch8g step in cur epoch 19losstf.Tensor(1.0160594, shape=(), dtype=float32)
epoch8g step in cur epoch 20losstf.Tensor(0.9074378, shape=(), dtype=float32)
epoch8g step in cur epoch 21losstf.Tensor(1.0410435, shape=(), dtype=float32)
epoch8g step in cur epoch 22losstf.Tensor(1.0756739, shape=(), dtype=float32)
epoch8g step in cur epoch 23losstf.Tensor(0.94462, shape=(), dtype=float32)
epoch8g step in cur epoch 24losstf.Tensor(1.0618852, shape=(), dtype=float32)
avg loss=tf.Tensor(0.62491906, shape=(), dtype=float32)
epoch9g step in cur epoch 0losstf.Tensor(0.61171067, shape=(), dtype=float32)
epoch9g step in cur epoch 1losstf.Tensor(0.54621565, shape=(), dtype=float32)
epoch9g step in cur epoch 2losstf.Tensor(0.45003265, shape=(), dtype=float32)
epoch9g step in cur epoch 3losstf.Tensor(0.48098332, shape=(), dtype=float32)
epoch9g step in cur epoch 4losstf.Tensor(0.6441326, shape=(), dtype=float32)
